dan,place,win,2nd,3rd,lose,win_rate,2nd_rate,3rd_rate,lose_rate,init_score,rank_up_score
7,ginton,200,65,-85,-185,0.25,0.25,0.25,0.25,2300,4600
8,ginton,200,65,-90,-190,0.25,0.25,0.25,0.25,2800,5600
9,ginton,200,65,-95,-200,0.25,0.25,0.25,0.25,3300,6600
10,ginton,200,65,-100,-220,0.25,0.25,0.25,0.25,3600,7600
7,ginhan,300,100,-130,-280,0.25,0.25,0.25,0.25,2300,4600
8,ginhan,300,100,-135,-285,0.25,0.25,0.25,0.25,2800,5600
9,ginhan,300,100,-140,-300,0.25,0.25,0.25,0.25,3300,6600
10,ginhan,300,100,-150,-330,0.25,0.25,0.25,0.25,3600,7600
4,enton,130,50,-40,-100,0.25,0.25,0.25,0.25,1000,2000
5,enton,130,50,-45,-105,0.25,0.25,0.25,0.25,1400,2800
6,enton,130,50,-50,-110,0.25,0.25,0.25,0.25,1800,3600
7,enton,130,50,-55,-140,0.25,0.25,0.25,0.25,2300,4600
8,enton,130,50,-60,-150,0.25,0.25,0.25,0.25,2800,5600
9,enton,130,50,-65,-160,0.25,0.25,0.25,0.25,3300,6600
10,enton,130,50,-70,-170,0.3162,0.2677,0.2677,0.1774,3600,7600
4,enhan,195,75,-60,-150,0.25,0.25,0.25,0.25,1000,2000
5,enhan,195,75,-65,-155,0.25,0.25,0.25,0.25,1400,2800
6,enhan,195,75,-75,-165,0.25,0.25,0.25,0.25,1800,3600
7,enhan,195,75,-85,-210,0.25,0.25,0.25,0.25,2300,4600
8,enhan,195,75,-90,-225,0.25,0.25,0.25,0.25,2800,5600
9,enhan,195,75,-100,-240,0.25,0.25,0.25,0.25,3300,6600
10,enhan,195,75,-110,-255,0.3162,0.2387,0.2677,0.1774,3600,7600
