dan,place,win,draw,lose,win_rate,draw_rate,lose_rate
10,enton,90,0,-120,0.35,0.38,0.27
10,enhan,135,0,-180,0.35,0.38,0.27
10,ginton,160,0,-180,0.35,0.38,0.27
10,ginhan,240,0,-270,0.35,0.38,0.27
7,ginton,160,0,-150,0.35,0.38,0.27
8,ginton,160,0,-160,0.35,0.38,0.27
9,ginton,160,0,-170,0.35,0.38,0.27
7,ginhan,240,0,-225,0.35,0.38,0.27
8,ginhan,240,0,-240,0.35,0.38,0.27
9,ginhan,240,0,-255,0.35,0.38,0.27
7,enton,90,0,-90,0.35,0.38,0.27
8,enton,90,0,-100,0.35,0.38,0.27
9,enton,90,0,-110,0.35,0.38,0.27
7,enhan,135,0,-135,0.35,0.38,0.27
8,enhan,135,0,-150,0.35,0.38,0.27
9,enhan,135,0,-165,0.35,0.38,0.27
